nation,nation_code,pos,player,birth_date,birth_city,birth_country,caps,club
Czech Republic,,1 GK,Matěj Kovář,17 May 2000,Uherské Hradiště,Czech Republic,20,PSV Eindhoven
Czech Republic,,2 DF,David Zima,8 November 2000,Olomouc,Czech Republic,25,Slavia Prague
Czech Republic,,2 DF,Tomáš Holeš,31 March 1993,Polička,Czech Republic,41,Slavia Prague
Czech Republic,,2 DF,Robin Hranáč,29 January 2000,Plzeň,Czech Republic,14,TSG Hoffenheim
Czech Republic,,2 DF,Vladimír Coufal,22 August 1992,Prague,Czech Republic,62,TSG Hoffenheim
Czech Republic,,2 DF,Štěpán Chaloupek,8 March 2003,Meziboří,Czech Republic,5,Slavia Prague
Czech Republic,,2 DF,Ladislav Krejčí,20 April 1999,Rosice,Czech Republic,27,Wolverhampton Wanderers
Czech Republic,,3 MF,Vladimír Darida,8 August 1990,Plzeň,Czech Republic,79,Hradec Králové
Czech Republic,,4 FW,Adam Hložek,25 July 2002,Ivančice,Czech Republic,43,TSG Hoffenheim
Czech Republic,,4 FW,Patrik Schick,24 January 1996,Prague,Czech Republic,53,Bayer Leverkusen
Czech Republic,,4 FW,Jan Kuchta,8 January 1997,Liberec,Czech Republic,31,Sparta Prague
Czech Republic,,3 MF,Lukáš Červ,10 April 2001,Prague,Czech Republic,17,Viktoria Plzeň
Czech Republic,,4 FW,Mojmír Chytil,29 April 1999,Skalka,Czech Republic,22,Slavia Prague
Czech Republic,,2 DF,David Jurásek,7 August 2000,Dolní Němčí,Czech Republic,18,Slavia Prague
Czech Republic,,4 FW,Pavel Šulc,29 December 2000,Karlovy Vary,Czech Republic,21,Lyon
Czech Republic,,1 GK,Jindřich Staněk,27 April 1996,Strakonice,Czech Republic,14,Slavia Prague
Czech Republic,,3 MF,Lukáš Provod,23 October 1996,Plzeň,Czech Republic,38,Slavia Prague
Czech Republic,,3 MF,Michal Sadílek,31 May 1999,Uherské Hradiště,Czech Republic,35,Slavia Prague
Czech Republic,,4 FW,Tomáš Chorý,26 January 1995,Olomouc,Czech Republic,22,Slavia Prague
Czech Republic,,2 DF,Jaroslav Zelený,20 August 1992,Hradec Králové,Czech Republic,23,Sparta Prague
Czech Republic,,2 DF,David Douděra,31 May 1998,Brandýs nad Labem-Stará Boleslav,Czech Republic,17,Slavia Prague
Czech Republic,,3 MF,Tomáš Souček,27 February 1995,Havlíčkův Brod,Czech Republic,90,West Ham United
Czech Republic,,1 GK,Lukáš Horníček,13 July 2002,Vysoké Mýto,Czech Republic,1,Braga
Czech Republic,,3 MF,Alexandr Sojka,2 April 2003,Klatovy,Czech Republic,2,Viktoria Plzeň
Czech Republic,,3 MF,Hugo Sochůrek,7 June 2008,Tábor,Czech Republic,1,Sparta Prague
Czech Republic,,4 FW,Denis Višinský,21 March 2003,Mělník,Czech Republic,2,Viktoria Plzeň
Mexico,,1 GK,Raúl Rangel,25 February 2000,Zapotlán el Grande Municipality,Mexico,14,Guadalajara
Mexico,,2 DF,Jorge Sánchez,10 December 1997,Torreón,Mexico,59,PAOK
Mexico,,2 DF,César Montes,24 February 1997,Hermosillo,Mexico,67,Lokomotiv Moscow
Mexico,,2 DF,Edson Álvarez,24 October 1997,Tlalnepantla de Baz Municipality,Mexico,98,Fenerbahçe
Mexico,,2 DF,Johan Vásquez,22 October 1998,Navojoa,Mexico,46,Genoa
Mexico,,3 MF,Érik Lira,8 May 2000,Cuauhtémoc,Mexico,25,Cruz Azul
Mexico,,3 MF,Luis Romo,5 June 1995,Ahome Municipality,Mexico,63,Guadalajara
Mexico,,3 MF,Álvaro Fidalgo,9 April 1997,Oviedo,Spain,4,Real Betis
Mexico,,4 FW,Raúl Jiménez,5 May 1991,Tepeji del Río de Ocampo Municipality,Mexico,124,Fulham
Mexico,,4 FW,Alexis Vega,25 November 1997,Cuauhtémoc,Mexico,52,Toluca
Mexico,,4 FW,Santiago Giménez,18 April 2001,Buenos Aires,Argentina,47,Milan
Mexico,,1 GK,Carlos Acevedo,19 April 1996,Torreón,Mexico,7,Santos Laguna
Mexico,,1 GK,Guillermo Ochoa,13 July 1985,Guadalajara,Mexico,152,AEL Limassol
Mexico,,4 FW,Armando González,20 April 2003,Celaya,Mexico,7,Guadalajara
Mexico,,2 DF,Israel Reyes,23 May 2000,Autlán de Navarro Municipality,Mexico,34,América
Mexico,,4 FW,Julián Quiñones,24 March 1997,Magüí Payán,Colombia,22,Al-Qadsiah
Mexico,,3 MF,Orbelín Pineda,24 March 1996,Coyuca de Catalán Municipality,Mexico,92,AEK Athens
Mexico,,3 MF,Obed Vargas,5 August 2005,Anchorage,United States,6,Atlético Madrid
Mexico,,3 MF,Gilberto Mora,14 October 2008,Tuxtla Gutiérrez,Mexico,8,Tijuana
Mexico,,2 DF,Mateo Chávez,12 May 2004,Monterrey,Mexico,10,AZ
Mexico,,4 FW,César Huerta,3 December 2000,Guadalajara,Mexico,26,Anderlecht
Mexico,,4 FW,Guillermo Martínez,15 March 1995,Celaya,Mexico,12,Pumas UNAM
Mexico,,2 DF,Jesús Gallardo,15 August 1994,Heroica Cárdenas,Mexico,121,Toluca
Mexico,,3 MF,Luis Chávez,15 January 1996,Cihuatlán,Mexico,45,Dynamo Moscow
Mexico,,4 FW,Roberto Alvarado,7 September 1998,Salamanca,Mexico,67,Guadalajara
Mexico,,3 MF,Brian Gutiérrez,17 June 2003,Berwyn,United States,7,Guadalajara
South Africa,,1 GK,Ronwen Williams,21 January 1992,Gqeberha,South Africa,62,Mamelodi Sundowns
South Africa,,2 DF,Thabang Matuludi,14 January 1999,Dennilton,South Africa,3,Polokwane City
South Africa,,2 DF,Khulumani Ndamane,5 February 2004,Ladysmith,South Africa,5,Mamelodi Sundowns
South Africa,,3 MF,Teboho Mokoena,24 January 1997,Bethlehem,South Africa,51,Mamelodi Sundowns
South Africa,,3 MF,Thalente Mbatha,6 March 2000,KwaMashu,South Africa,15,Orlando Pirates
South Africa,,2 DF,Aubrey Modiba,22 July 1995,Polokwane,South Africa,44,Mamelodi Sundowns
South Africa,,4 FW,Oswin Appollis,25 August 2001,Bishop Lavis,South Africa,26,Orlando Pirates
South Africa,,4 FW,Tshepang Moremi,2 October 2000,Sharpeville,South Africa,10,Orlando Pirates
South Africa,,4 FW,Lyle Foster,3 September 2000,Soweto,South Africa,27,Burnley
South Africa,,4 FW,Relebohile Mofokeng,23 October 2004,Sharpeville,South Africa,13,Orlando Pirates
South Africa,,3 MF,Themba Zwane,3 August 1989,Thembisa,South Africa,54,Mamelodi Sundowns
South Africa,,4 FW,Thapelo Maseko,11 November 2003,Sebokeng,South Africa,10,AEL Limassol
South Africa,,3 MF,Sphephelo Sithole,3 March 1999,Durban,South Africa,28,Tondela
South Africa,,2 DF,Mbekezeli Mbokazi,19 September 2005,Hluhluwe,South Africa,10,Chicago Fire FC
South Africa,,4 FW,Iqraam Rayners,19 December 1995,Cape Town,South Africa,14,Mamelodi Sundowns
South Africa,,1 GK,Sipho Chaine,14 December 1996,Bloemfontein,South Africa,4,Orlando Pirates
South Africa,,4 FW,Evidence Makgopa,5 June 2000,Fetakgomo Local Municipality,South Africa,26,Orlando Pirates
South Africa,,2 DF,Samukele Kabini,15 March 2004,,South Africa,6,Molde
South Africa,,2 DF,Nkosinathi Sibisi,22 September 1995,Durban,South Africa,20,Orlando Pirates
South Africa,,2 DF,Khuliso Mudau,26 April 1995,Musina,South Africa,32,Mamelodi Sundowns
South Africa,,2 DF,Ime Okon,20 February 2004,,South Africa,8,Hannover 96
South Africa,,1 GK,Ricardo Goss,2 April 1994,Durban,South Africa,5,Siwelele
South Africa,,3 MF,Jayden Adams,5 May 2001,Cape Town,South Africa,5,Mamelodi Sundowns
South Africa,,2 DF,Olwethu Makhanya,30 April 2004,Durban,South Africa,1,Philadelphia Union
South Africa,,4 FW,Kamogelo Sebelebele,21 July 2002,Thembisa,South Africa,3,Orlando Pirates
South Africa,,2 DF,Bradley Cross,30 January 2001,Kempton Park,South Africa,1,Kaizer Chiefs
South Korea,,1 GK,Kim Seung-gyu,30 September 1990,Ulsan,South Korea,87,FC Tokyo
South Korea,,2 DF,Lee Han-beom,17 June 2002,Daegu,South Korea,8,Midtjylland
South Korea,,3 MF,Lee Gi-hyuk,7 July 2000,Seoul,South Korea,3,Gangwon FC
South Korea,,2 DF,Kim Min-jae,15 November 1996,Tongyeong,South Korea,79,Bayern Munich
South Korea,,2 DF,Kim Tae-hyeon,17 September 2000,Gimpo,South Korea,7,Kashima Antlers
South Korea,,3 MF,Hwang In-beom,20 September 1996,Daejeon,South Korea,73,Feyenoord
South Korea,,4 FW,Son Heung-min,8 July 1992,Chuncheon,South Korea,144,Los Angeles FC
South Korea,,3 MF,Paik Seung-ho,17 March 1997,Suwon,South Korea,27,Birmingham City
South Korea,,4 FW,Cho Gue-sung,25 January 1998,Ansan,South Korea,44,Midtjylland
South Korea,,3 MF,Lee Jae-sung,10 August 1992,Ulsan,South Korea,105,Mainz 05
South Korea,,3 MF,Hwang Hee-chan,26 January 1996,Chuncheon,South Korea,79,Wolverhampton Wanderers
South Korea,,1 GK,Song Bum-keun,15 October 1997,Seongnam,South Korea,3,Jeonbuk Hyundai Motors
South Korea,,2 DF,Lee Tae-seok,28 July 2002,Incheon,South Korea,15,Austria Wien
South Korea,,2 DF,Cho Wi-je,25 August 2001,Busan,South Korea,1,Jeonbuk Hyundai Motors
South Korea,,2 DF,Kim Moon-hwan,1 August 1995,Hwaseong,South Korea,35,Daejeon Hana Citizen
South Korea,,2 DF,Park Jin-seob,23 October 1995,Jeonju,South Korea,14,Zhejiang
South Korea,,3 MF,Bae Jun-ho,21 August 2003,Daegu,South Korea,13,Stoke City
South Korea,,4 FW,Oh Hyeon-gyu,12 April 2001,Namyangju,South Korea,27,Beşiktaş
South Korea,,3 MF,Lee Kang-in,19 February 2001,Incheon,South Korea,47,Paris Saint-Germain
South Korea,,3 MF,Yang Hyun-jun,25 May 2002,Busan,South Korea,9,Celtic
South Korea,,1 GK,Jo Hyeon-woo,25 September 1991,Seoul,South Korea,48,Ulsan HD
South Korea,,2 DF,Seol Young-woo,5 December 1998,Ulsan,South Korea,34,Red Star Belgrade
South Korea,,2 DF,Jens Castrop,29 July 2003,Düsseldorf,Germany,7,Borussia Mönchengladbach
South Korea,,3 MF,Kim Jin-gyu,24 February 1997,Pohang,South Korea,22,Jeonbuk Hyundai Motors
South Korea,,3 MF,Eom Ji-sung,9 May 2002,Gimje,South Korea,9,Swansea City
South Korea,,3 MF,Lee Dong-gyeong,20 September 1997,Daegu,South Korea,18,Ulsan HD
Bosnia and Herzegovina,,1 GK,Nikola Vasilj,2 December 1995,Mostar,Bosnia and Herzegovina,26,FC St. Pauli
Bosnia and Herzegovina,,2 DF,Nihad Mujakić,15 April 1998,Sarajevo,Bosnia and Herzegovina,12,Gaziantep
Bosnia and Herzegovina,,2 DF,Dennis Hadžikadunić,9 July 1998,Malmö,Sweden,32,Sampdoria
Bosnia and Herzegovina,,2 DF,Tarik Muharemović,28 February 2003,Ljubljana,Slovenia,14,Sassuolo
Bosnia and Herzegovina,,2 DF,Sead Kolašinac,20 June 1993,Karlsruhe,Germany,65,Atalanta
Bosnia and Herzegovina,,3 MF,Benjamin Tahirović,3 March 2003,Spånga-Tensta city district,Sweden,28,Brøndby
Bosnia and Herzegovina,,2 DF,Amar Dedić,18 August 2002,Zell am See,Austria,28,Benfica
Bosnia and Herzegovina,,3 MF,Armin Gigović,6 April 2002,Lund,Sweden,20,Young Boys
Bosnia and Herzegovina,,4 FW,Samed Baždar,31 January 2004,Novi Pazar,Serbia,13,Jagiellonia Białystok
Bosnia and Herzegovina,,4 FW,Ermedin Demirović,25 March 1998,Hamburg,Germany,40,VfB Stuttgart
Bosnia and Herzegovina,,4 FW,Edin Džeko,17 March 1986,Sarajevo,Bosnia and Herzegovina,148,Schalke 04
Bosnia and Herzegovina,,1 GK,Mladen Jurkas,7 October 2007,Doboj,Bosnia and Herzegovina,0,Borac Banja Luka
Bosnia and Herzegovina,,3 MF,Ivan Bašić,30 April 2002,Imotski,Croatia,17,Astana
Bosnia and Herzegovina,,3 MF,Ivan Šunjić,9 October 1996,Zenica,Bosnia and Herzegovina,11,Pafos
Bosnia and Herzegovina,,3 MF,Amar Memić,20 January 2001,Sarajevo,Bosnia and Herzegovina,13,Viktoria Plzeň
Bosnia and Herzegovina,,3 MF,Amir Hadžiahmetović,8 March 1997,Nexø,Denmark,36,Hull City
Bosnia and Herzegovina,,3 MF,Dženis Burnić,22 May 1998,Hamm,Germany,20,Karlsruher SC
Bosnia and Herzegovina,,2 DF,Nikola Katić,10 October 1996,Ljubuški,Bosnia and Herzegovina,17,Schalke 04
Bosnia and Herzegovina,,4 FW,Kerim Alajbegović,21 September 2007,Cologne,Germany,10,Red Bull Salzburg
Bosnia and Herzegovina,,4 FW,Esmir Bajraktarević,10 March 2005,Appleton,United States,16,PSV Eindhoven
Bosnia and Herzegovina,,2 DF,Stjepan Radeljić,5 September 1997,Travnik,Bosnia and Herzegovina,5,Rijeka
Bosnia and Herzegovina,,1 GK,Martin Zlomislić,16 August 1998,Posušje,Bosnia and Herzegovina,3,Rijeka
Bosnia and Herzegovina,,4 FW,Haris Tabaković,20 June 1994,Grenchen,Switzerland,10,Borussia Mönchengladbach
Bosnia and Herzegovina,,2 DF,Arjan Malić,28 August 2005,Jesenice,Slovenia,8,Sturm Graz
Bosnia and Herzegovina,,4 FW,Jovo Lukić,28 November 1998,Banja Luka,Bosnia and Herzegovina,3,Universitatea Cluj
Bosnia and Herzegovina,,3 MF,Ermin Mahmić,14 March 2005,Wels,Austria,2,Slovan Liberec
Canada,,1 GK,Dayne St. Clair,9 May 1997,Pickering,Canada,20,Inter Miami CF
Canada,,2 DF,Alistair Johnston,8 October 1998,Vancouver,Canada,58,Celtic
Canada,,2 DF,Alfie Jones,7 October 1997,Bristol,United Kingdom,2,Middlesbrough
Canada,,2 DF,Luc de Fougerolles,12 October 2005,London,United Kingdom,13,Dender EH
Canada,,2 DF,Joel Waterman,24 January 1996,Langley,Canada,17,Chicago Fire FC
Canada,,3 MF,Mathieu Choinière,7 February 1999,Saint-Alexandre,Canada,23,Los Angeles FC
Canada,,3 MF,Stephen Eustáquio,21 December 1996,Leamington,Canada,56,Los Angeles FC
Canada,,3 MF,Ismaël Koné,16 June 2002,Abidjan,Ivory Coast,40,Sassuolo
Canada,,4 FW,Cyle Larin,17 April 1995,Brampton,Canada,90,Southampton
Canada,,4 FW,Jonathan David,14 January 2000,Brooklyn,United States,77,Juventus
Canada,,3 MF,Liam Millar,27 September 1999,Toronto,Canada,41,Hull City
Canada,,4 FW,Tani Oluwaseyi,15 May 2000,Abuja,Nigeria,24,Villarreal
Canada,,2 DF,Derek Cornelius,25 November 1997,Ajax,Canada,44,Rangers
Canada,,3 MF,Jacob Shaffelburg,26 November 1999,Port Williams,Canada,31,Los Angeles FC
Canada,,2 DF,Moïse Bombito,30 March 2000,Montreal,Canada,20,Nice
Canada,,1 GK,Maxime Crépeau,11 May 1994,Greenfield Park,Canada,32,Orlando City SC
Canada,,4 FW,Tajon Buchanan,8 February 1999,Brampton,Canada,60,Villarreal
Canada,,1 GK,Owen Goodman,27 November 2003,Harold Wood,United Kingdom,0,Barnsley
Canada,,2 DF,Alphonso Davies,2 November 2000,Buduburam,Ghana,58,Bayern Munich
Canada,,4 FW,Ali Ahmed,10 October 2000,Toronto,Canada,24,Norwich City
Canada,,3 MF,Jonathan Osorio,12 June 1992,Toronto,Canada,90,Toronto FC
Canada,,2 DF,Richie Laryea,7 January 1995,Toronto,Canada,75,Toronto FC
Canada,,2 DF,Niko Sigur,9 September 2003,Burnaby,Canada,19,Hajduk Split
Canada,,4 FW,Promise David,3 July 2001,Brampton,Canada,10,Union Saint-Gilloise
Canada,,3 MF,Nathan Saliba,7 February 2004,Longueuil,Canada,15,Anderlecht
Canada,,4 FW,Jayden Nelson,26 September 2002,Brampton,Canada,14,Austin FC
Qatar,,1 GK,Mahmud Abunada,5 February 2000,Doha,Qatar,6,Al-Rayyan
Qatar,,2 DF,Pedro Miguel,6 August 1990,Algueirão - Mem Martins,Portugal,105,Al-Sadd
Qatar,,2 DF,Lucas Mendes,3 July 1990,Curitiba,Brazil,25,Al-Wakrah
Qatar,,2 DF,Issa Laye,22 December 1997,,Senegal,4,Al-Arabi
Qatar,,2 DF,Jassem Gaber,20 February 2002,Doha,Qatar,32,Al-Rayyan
Qatar,,3 MF,Abdulaziz Hatem,1 January 1990,Doha,Qatar,119,Al-Rayyan
Qatar,,4 FW,Ahmed Alaaeldin,31 January 1993,Ismailia,Egypt,68,Al-Rayyan
Qatar,,4 FW,Edmilson Junior,19 August 1994,Liège,Belgium,16,Al-Duhail
Qatar,,4 FW,Mohammed Muntari,20 December 1993,Kumasi,Ghana,67,Al-Gharafa
Qatar,,4 FW,Hassan Al-Haydos,11 December 1990,Doha,Qatar,186,Al-Sadd
Qatar,,4 FW,Akram Afif,18 November 1996,Doha,Qatar,125,Al-Sadd
Qatar,,3 MF,Karim Boudiaf,16 September 1990,Rueil-Malmaison,France,118,Al-Duhail
Qatar,,2 DF,Ayoub Al-Oui,11 March 2005,,Qatar,6,Al-Gharafa
Qatar,,2 DF,Homam Ahmed,25 August 1999,Doha,Qatar,68,Cultural Leonesa
Qatar,,4 FW,Yusuf Abdurisag,6 August 1999,Mogadishu,Somalia,39,Al-Wakrah
Qatar,,2 DF,Boualem Khoukhi,9 July 1990,Bou Ismaïl,Algeria,116,Al-Sadd
Qatar,,3 MF,Ahmed Al-Ganehi,22 September 2000,Doha,Qatar,13,Al-Gharafa
Qatar,,2 DF,Sultan Al-Brake,7 April 1996,Doha,Qatar,17,Al-Duhail
Qatar,,4 FW,Almoez Ali,19 August 1996,Khartoum,Sudan,115,Al-Duhail
Qatar,,3 MF,Ahmed Fathy,25 January 1993,Doha,Qatar,48,Al-Arabi
Qatar,,1 GK,Salah Zakaria,24 April 1999,,Qatar,8,Al-Duhail
Qatar,,1 GK,Meshaal Barsham,14 February 1998,Doha,Qatar,52,Al-Sadd
Qatar,,3 MF,Assim Madibo,22 October 1996,Khartoum,Sudan,51,Al-Wakrah
Qatar,,4 FW,Tahsin Jamshid,16 June 2006,Doha,Qatar,3,Al-Duhail
Qatar,,2 DF,Al-Hashmi Al-Hussain,15 August 2003,,Qatar,8,Al-Arabi
Qatar,,4 FW,Mohamed Manai,25 October 2002,,Tunisia,10,Al-Shamal
Switzerland,,1 GK,Gregor Kobel,6 December 1997,Zurich,Switzerland,21,Borussia Dortmund
Switzerland,,2 DF,Miro Muheim,24 March 1998,Zurich,Switzerland,10,Hamburger SV
Switzerland,,2 DF,Silvan Widmer,5 March 1993,Aarau,Switzerland,60,Mainz 05
Switzerland,,2 DF,Nico Elvedi,30 September 1996,Zurich,Switzerland,67,Borussia Mönchengladbach
Switzerland,,2 DF,Manuel Akanji,19 July 1995,Neftenbach,Switzerland,81,Inter Milan
Switzerland,,3 MF,Denis Zakaria,20 November 1996,Geneva,Switzerland,65,Monaco
Switzerland,,4 FW,Breel Embolo,14 February 1997,Yaoundé,Cameroon,86,Rennes
Switzerland,,3 MF,Remo Freuler,15 April 1992,Ennenda,Switzerland,88,Bologna
Switzerland,,3 MF,Johan Manzambi,14 October 2005,Geneva,Switzerland,12,SC Freiburg
Switzerland,,3 MF,Granit Xhaka,27 September 1992,Basel,Switzerland,146,Sunderland
Switzerland,,4 FW,Dan Ndoye,25 October 2000,Nyon,Switzerland,31,Nottingham Forest
Switzerland,,1 GK,Yvon Mvogo,6 June 1994,Yaoundé,Cameroon,13,Lorient
Switzerland,,2 DF,Ricardo Rodriguez,25 August 1992,Zurich,Switzerland,138,Real Betis
Switzerland,,3 MF,Ardon Jashari,30 July 2002,Cham,Switzerland,8,Milan
Switzerland,,3 MF,Djibril Sow,6 February 1997,Zurich,Switzerland,52,Sevilla
Switzerland,,4 FW,Christian Fassnacht,11 November 1993,Zurich,Switzerland,23,Young Boys
Switzerland,,4 FW,Rubén Vargas,5 August 1998,Adligenswil,Switzerland,61,Sevilla
Switzerland,,2 DF,Eray Cömert,4 February 1998,Rheinfelden,Switzerland,22,Valencia
Switzerland,,4 FW,Noah Okafor,24 May 2000,Binningen,Switzerland,25,Leeds United
Switzerland,,3 MF,Michel Aebischer,6 January 1997,Fribourg,Switzerland,40,Pisa
Switzerland,,1 GK,Marvin Keller,3 July 2002,London,United Kingdom,1,Young Boys
Switzerland,,3 MF,Fabian Rieder,16 February 2002,Koppigen,Switzerland,28,FC Augsburg
Switzerland,,4 FW,Zeki Amdouni,4 December 2000,Geneva,Switzerland,29,Burnley
Switzerland,,2 DF,Aurèle Amenda,31 July 2003,Biel/Bienne,Switzerland,7,Eintracht Frankfurt
Switzerland,,2 DF,Luca Jaquez,2 June 2003,Lucerne,Switzerland,3,VfB Stuttgart
Switzerland,,4 FW,Cedric Itten,27 December 1996,Basel,Switzerland,15,Fortuna Düsseldorf
Brazil,,1 GK,Alisson,2 October 1992,Novo Hamburgo,Brazil,78,Liverpool
Brazil,,3 MF,Éderson Silva,7 July 1999,Campo Grande,Brazil,3,Atalanta
Brazil,,2 DF,Gabriel Magalhães,19 December 1997,São Paulo,Brazil,17,Arsenal
Brazil,,2 DF,Marquinhos,14 May 1994,São Paulo,Brazil,105,Paris Saint-Germain
Brazil,,3 MF,Casemiro,23 February 1992,São José dos Campos,Brazil,86,Manchester United
Brazil,,2 DF,Alex Sandro,26 January 1991,Catanduva,Brazil,45,Flamengo
Brazil,,4 FW,Vinícius Júnior,12 July 2000,São Gonçalo,Brazil,49,Real Madrid
Brazil,,3 MF,Bruno Guimarães,16 November 1997,Rio de Janeiro,Brazil,43,Newcastle United
Brazil,,4 FW,Matheus Cunha,27 May 1999,João Pessoa,Brazil,23,Manchester United
Brazil,,4 FW,Neymar,5 February 1992,Mogi das Cruzes,Brazil,128,Santos
Brazil,,4 FW,Raphinha,14 December 1996,Porto Alegre,Brazil,39,Barcelona
Brazil,,1 GK,Weverton,13 December 1987,Rio Branco,Brazil,11,Grêmio
Brazil,,2 DF,Danilo Luiz,15 July 1991,Bicas,Brazil,70,Flamengo
Brazil,,2 DF,Bremer,18 March 1997,Itapitanga,Brazil,8,Juventus
Brazil,,2 DF,Léo Pereira,31 January 1996,Curitiba,Brazil,4,Flamengo
Brazil,,2 DF,Douglas Santos,22 March 1994,João Pessoa,Brazil,7,Zenit Saint Petersburg
Brazil,,3 MF,Fabinho,23 October 1993,Campinas,Brazil,33,Al-Ittihad
Brazil,,3 MF,Danilo Santos,29 April 2001,Salvador,Brazil,4,Botafogo
Brazil,,4 FW,Endrick,21 July 2006,Taguatinga,Brazil,17,Lyon
Brazil,,3 MF,Lucas Paquetá,27 August 1997,Rio de Janeiro,Brazil,63,Flamengo
Brazil,,4 FW,Luiz Henrique,2 January 2001,Petrópolis,Brazil,15,Zenit Saint Petersburg
Brazil,,4 FW,Gabriel Martinelli,18 June 2001,Guarulhos,Brazil,23,Arsenal
Brazil,,1 GK,Ederson Moraes,17 August 1993,Osasco,Brazil,32,Fenerbahçe
Brazil,,2 DF,Roger Ibañez,23 November 1998,Canela,Brazil,7,Al-Ahli
Brazil,,4 FW,Igor Thiago,26 June 2001,Gama,Brazil,4,Brentford
Brazil,,4 FW,Rayan,3 August 2006,Rio de Janeiro,Brazil,2,Bournemouth
Haiti,,1 GK,Johny Placide,29 January 1988,Montfermeil,France,82,Bastia
Haiti,,2 DF,Carlens Arcus,28 June 1996,Port-au-Prince,Haiti,56,Angers
Haiti,,2 DF,Keeto Thermoncy,29 March 2006,Fribourg,Switzerland,1,Young Boys
Haiti,,2 DF,Ricardo Adé,21 May 1990,Saint-Marc,Haiti,59,LDU Quito
